n none local replan hybrid
1 15.1162 14.8132 14.9069 15.1645
2 15.1187 14.9121 14.9264 15.2352
3 15.2139 14.9796 15.3021 15.2500
4 15.2288 15.1179 15.3064 15.2559
5 15.2729 15.2116 15.3126 15.2957
6 15.3122 15.2974 15.4228 15.3043
7 15.4006 15.3934 15.5121 15.3181
8 15.4182 15.5443 15.5495 15.3628
9 15.4274 15.5444 15.6993 15.3732
10 15.4362 15.5862 15.8823 15.3976
11 15.4389 15.6857 15.9575 15.4005
12 15.5484 15.8977 15.9634 15.5069
13 15.6660 15.9445 15.9862 15.5132
14 15.7694 16.0982 16.4416 15.6513
15 15.7708 16.2387 16.5679 15.9068
16 15.8097 16.7958 17.0546 16.2900
17 16.1617 17.1237 17.1717 17.5709
18 16.2623 17.3354 17.3078 17.6592
19 16.2895 17.4321 17.6131 18.1592
20 16.4159 18.9611 17.6977 18.4448
21 16.4200 25.8631 18.9624 27.4106
22 16.4366 26.4551 19.6090 28.1612
23 16.6543 27.5162 19.7503 28.9859
24 16.6704 28.0114 19.7904 29.2390
25 16.7181 28.4543 19.8139 30.0010
26 16.7570 29.3389 19.9641 30.2560
27 16.7668 29.4181 20.4305 30.6157
28 16.8076 29.6924 20.6098 30.7683
29 16.8822 30.3442 20.7340 31.0809
30 16.8829 30.5532 21.6566 31.5328
31 17.0066 31.3630 21.8012 31.6790
32 17.1766 31.4680 21.8195 31.7400
33 17.5423 31.5606 22.2285 32.0241
34 17.7420 31.6803 22.8580 32.3338
35 18.0313 31.9895 23.0353 32.8704
36 18.2385 32.3119 23.1858 32.9852
37 18.3741 32.3998 23.2406 33.0102
38 18.4343 33.1182 24.5570 33.0462
39 18.6827 33.5722 26.4332 33.0717
40 18.9874 34.1132 28.3003 34.3971
41 29.4008 34.1911 29.6683 34.4722
42 30.0501 34.6832 29.7747 34.6109
43 30.6364 34.9104 30.0550 34.6412
44 30.9782 35.1624 30.6959 34.6424
45 30.9948 35.2293 30.8404 35.0088
46 31.2835 35.3053 30.9208 35.1608
47 31.3631 35.3965 32.3415 35.4624
48 31.4392 35.4579 32.5319 35.8792
49 31.6216 35.6180 32.9111 36.4142
50 31.6870 35.6540 33.6335 37.2556
51 31.9149 35.7564 33.9699 37.5149
52 31.9578 36.2727 34.1560 38.2910
53 31.9685 36.6217 34.2067 39.0593
54 32.1000 36.8910 34.3715 39.2664
55 32.2326 37.0570 34.4161 40.7345
56 32.3671 37.3895 34.4584 42.5597
57 32.4289 38.5187 35.0138 43.2683
58 32.5633 41.7551 35.0382 43.3505
59 32.9358 47.5063 35.1759 44.0696
60 33.3352 61.2758 35.2027 44.3698
61 33.7069 63.2711 35.3059 59.6646
62 34.1461 65.7941 36.6199 65.0542
63 34.2389 66.3407 36.8451 65.6478
64 34.2546 67.4949 37.2359 66.3877
65 34.2892 70.1584 37.6950 68.2772
66 34.4001 70.7529 37.7681 73.1768
67 34.4166 72.0579 38.5536 78.4529
68 34.4750 76.6339 39.8132 79.3644
69 34.6762 78.9995 40.3722 81.6414
70 34.7311 83.1011 42.7891 87.6901
71 35.9580 93.8877 43.6998 95.1355
72 36.0402 96.1518 44.1308 95.2148
73 36.1606 96.5406 45.0494 95.9718
74 36.1715 102.7824 45.0913 98.5723
75 36.8309 104.7415 45.4177 101.0284
76 36.8750 107.7320 45.8443 101.6748
77 37.1214 114.6415 47.5298 105.4396
78 37.7229 120.5938 50.7820 141.6246
79 44.4477 127.3521 53.6552 142.8681
80 45.8307 156.7520 56.8818 152.5577
