k m cell strategy n path_ratio coll_rate near_miss dmin_median
2 0 k2m0 hybrid 20 0.9989 0.0000 0.0000 nan
2 0 k2m0 local 20 0.9989 0.0000 0.0000 nan
2 0 k2m0 none 20 0.9989 0.0000 0.0000 nan
2 0 k2m0 replan 20 0.9989 0.0000 0.0000 nan
2 1 k2m1 hybrid 20 1.0590 0.0000 0.4500 1.1200
2 1 k2m1 local 20 1.0343 0.0000 0.4000 1.0976
2 1 k2m1 none 20 0.9989 0.8500 0.9000 0.0002
2 1 k2m1 replan 20 1.0711 0.0000 0.1000 1.6502
4 0 k4m0 hybrid 20 0.9993 0.0000 0.0000 nan
4 0 k4m0 local 20 0.9993 0.0000 0.0000 nan
4 0 k4m0 none 20 0.9993 0.0000 0.0000 nan
4 0 k4m0 replan 20 0.9993 0.0000 0.0000 nan
4 1 k4m1 hybrid 20 1.0512 0.0500 0.4500 1.0389
4 1 k4m1 local 20 1.0300 0.0500 0.4500 1.0212
4 1 k4m1 none 20 0.9993 0.7500 0.7500 0.0002
4 1 k4m1 replan 20 1.0807 0.0000 0.1500 1.7315
