# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 0 0 none - 0 0 0 2.0390 nan 35.4336 0.9990 12.5500 13.3000 25.1000 1 0 0 0.0565 0.1130 0.3226 0.0162 0 0.0296 0.2458 0 143
2 0 0 local - 0 0 0 2.0390 nan 35.4336 0.9990 12.5500 13.3000 25.1000 1 0 0 0.0563 0.1147 0.3172 0.0161 0 0.0296 0.2458 0 143
2 0 0 replan - 0 0 0 2.0390 nan 35.4336 0.9990 12.5500 13.3000 25.1000 1 0 0 0.0596 0.1193 0.2649 0.0171 0 0.0296 0.2458 0 143
2 0 0 hybrid - 0 0 0 2.0390 nan 35.4336 0.9990 12.5500 13.3000 25.1000 1 0 0 0.0533 0.0911 0.1175 0.0152 0 0.0296 0.2458 0 143
2 0 1 none - 0 0 0 2.0207 nan 36.0328 0.9990 12.7500 13.5000 25.5000 1 0 0 0.0566 0.1300 0.1577 0.0164 0 0.0292 0.2458 0 145
2 0 1 local - 0 0 0 2.0207 nan 36.0328 0.9990 12.7500 13.5000 25.5000 1 0 0 0.0598 0.1200 0.1564 0.0173 0 0.0292 0.2458 0 145
2 0 1 replan - 0 0 0 2.0207 nan 36.0328 0.9990 12.7500 13.5000 25.5000 1 0 0 0.0550 0.1034 0.1207 0.0160 0 0.0292 0.2458 0 145
2 0 1 hybrid - 0 0 0 2.0207 nan 36.0328 0.9990 12.7500 13.5000 25.5000 1 0 0 0.0606 0.1046 0.1861 0.0176 0 0.0292 0.2458 0 145
2 0 2 none - 0 0 0 2.0036 nan 35.6112 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0551 0.1029 0.1251 0.0158 0 0.0294 0.2458 0 143
2 0 2 local - 0 0 0 2.0036 nan 35.6112 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0610 0.1276 0.1955 0.0174 0 0.0294 0.2458 0 143
2 0 2 replan - 0 0 0 2.0036 nan 35.6112 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0619 0.1129 0.1590 0.0177 0 0.0294 0.2458 0 143
2 0 2 hybrid - 0 0 0 2.0036 nan 35.6112 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0635 0.1190 0.1708 0.0182 0 0.0294 0.2458 0 143
2 0 3 none - 0 0 0 1.9603 nan 35.9120 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0638 0.1186 0.1270 0.0184 0 0.0292 0.2458 0 144
2 0 3 local - 0 0 0 1.9603 nan 35.9120 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0658 0.1440 0.1922 0.0190 0 0.0292 0.2458 0 144
2 0 3 replan - 0 0 0 1.9603 nan 35.9120 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0612 0.1119 0.1258 0.0176 0 0.0292 0.2458 0 144
2 0 3 hybrid - 0 0 0 1.9603 nan 35.9120 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0640 0.1126 0.1591 0.0184 0 0.0292 0.2458 0 144
2 0 4 none - 0 0 0 2.1171 nan 35.4915 0.9990 12.5500 13.4000 25.1000 1 0 0 0.0596 0.1138 0.1647 0.0172 0 0.0296 0.2458 0 144
2 0 4 local - 0 0 0 2.1171 nan 35.4915 0.9990 12.5500 13.4000 25.1000 1 0 0 0.0564 0.1067 0.1580 0.0162 0 0.0296 0.2458 0 144
2 0 4 replan - 0 0 0 2.1171 nan 35.4915 0.9990 12.5500 13.4000 25.1000 1 0 0 0.0601 0.1373 0.2217 0.0173 0 0.0296 0.2458 0 144
2 0 4 hybrid - 0 0 0 2.1171 nan 35.4915 0.9990 12.5500 13.4000 25.1000 1 0 0 0.0533 0.0958 0.1205 0.0154 0 0.0296 0.2458 0 144
2 0 5 none - 0 0 0 2.1614 nan 35.8078 0.9989 12.6500 13.5000 25.3000 1 0 0 0.0527 0.0910 0.1256 0.0153 0 0.0294 0.2458 0 145
2 0 5 local - 0 0 0 2.1614 nan 35.8078 0.9989 12.6500 13.5000 25.3000 1 0 0 0.0548 0.1144 0.1891 0.0159 0 0.0294 0.2458 0 145
