k m cell strategy n path_ratio coll_rate near_miss dmin_median path_lo path_hi coll_lo coll_hi dmin_q1 dmin_q3 dmin_p5 makespan mk_lo mk_hi soc replans comp_ms comp_total_s ef_mean ef_max comm_viol success avoid_steps
2 0 k2m0 hybrid 20 0.9989 0.0000 0.0000 nan 0.9989 0.9990 0.0000 0.1611 nan nan nan 13.3750 13.3184 13.4316 25.2450 0.0000 0.0744 0.0214 0.0294 0.2458 0.0000 1.0000 0.0000
2 0 k2m0 local 20 0.9989 0.0000 0.0000 nan 0.9989 0.9990 0.0000 0.1611 nan nan nan 13.3750 13.3184 13.4316 25.2450 0.0000 0.0743 0.0214 0.0294 0.2458 0.0000 1.0000 0.0000
2 0 k2m0 none 20 0.9989 0.0000 0.0000 nan 0.9989 0.9990 0.0000 0.1611 nan nan nan 13.3750 13.3184 13.4316 25.2450 0.0000 0.0752 0.0216 0.0294 0.2458 0.0000 1.0000 0.0000
2 0 k2m0 replan 20 0.9989 0.0000 0.0000 nan 0.9989 0.9990 0.0000 0.1611 nan nan nan 13.3750 13.3184 13.4316 25.2450 0.0000 0.0751 0.0216 0.0294 0.2458 0.0000 1.0000 0.0000
2 1 k2m1 hybrid 20 1.0590 0.0000 0.4500 1.1200 1.0328 1.0851 0.0000 0.1611 0.9388 1.3611 0.8437 14.4050 13.8570 14.9530 26.8300 0.8500 0.1597 0.0493 1.0276 2.8950 1.6000 1.0000 61.6000
2 1 k2m1 local 20 1.0343 0.0000 0.4000 1.0976 1.0216 1.0469 0.0000 0.1611 0.9284 1.2053 0.8437 14.4300 12.3068 16.5532 27.4150 0.0000 0.1631 0.0529 0.6673 2.0014 0.0000 1.0000 86.4500
2 1 k2m1 none 20 0.9989 0.8500 0.9000 0.0002 0.9989 0.9990 0.6396 0.9476 0.0000 0.0730 0.0000 13.3750 13.3184 13.4316 25.2450 0.0000 0.0820 0.0236 0.0294 0.2458 0.0000 0.1500 0.0000
2 1 k2m1 replan 20 1.0711 0.0000 0.1000 1.6502 1.0422 1.0999 0.0000 0.1611 1.3229 2.0100 0.9244 14.7550 14.1188 15.3912 27.9200 4.1500 0.0964 0.0304 1.4056 3.3592 3.4500 1.0000 0.0000
4 0 k4m0 hybrid 20 0.9993 0.0000 0.0000 nan 0.9992 0.9993 0.0000 0.1611 nan nan nan 13.2300 12.8366 13.6234 48.0500 0.0000 0.0830 0.0472 0.0297 0.1852 0.0000 1.0000 0.0000
4 0 k4m0 local 20 0.9993 0.0000 0.0000 nan 0.9992 0.9993 0.0000 0.1611 nan nan nan 13.2300 12.8366 13.6234 48.0500 0.0000 0.0814 0.0463 0.0297 0.1852 0.0000 1.0000 0.0000
4 0 k4m0 none 20 0.9993 0.0000 0.0000 nan 0.9992 0.9993 0.0000 0.1611 nan nan nan 13.2300 12.8366 13.6234 48.0500 0.0000 0.0820 0.0467 0.0297 0.1852 0.0000 1.0000 0.0000
4 0 k4m0 replan 20 0.9993 0.0000 0.0000 nan 0.9992 0.9993 0.0000 0.1611 nan nan nan 13.2300 12.8366 13.6234 48.0500 0.0000 0.0817 0.0466 0.0297 0.1852 0.0000 1.0000 0.0000
4 1 k4m1 hybrid 20 1.0512 0.0500 0.4500 1.0389 1.0248 1.0776 0.0089 0.2361 0.9652 1.2126 0.7296 14.2050 13.2897 15.1203 50.0250 1.5000 0.2113 0.1290 0.7438 2.0561 0.0000 0.9500 89.2000
4 1 k4m1 local 20 1.0300 0.0500 0.4500 1.0212 1.0159 1.0442 0.0089 0.2361 0.9652 1.1206 0.7373 13.4450 13.0408 13.8492 48.4450 0.0000 0.2106 0.1220 0.3148 1.2042 0.0000 0.9500 90.3500
4 1 k4m1 none 20 0.9993 0.7500 0.7500 0.0002 0.9992 0.9993 0.5313 0.8881 0.0000 0.5009 0.0000 13.2300 12.8366 13.6234 48.0500 0.0000 0.0837 0.0476 0.0297 0.1852 0.0000 0.2500 0.0000
4 1 k4m1 replan 20 1.0807 0.0000 0.1500 1.7315 1.0467 1.1146 0.0000 0.1611 1.3133 2.3059 0.9113 14.7100 14.0091 15.4109 52.7900 7.4500 0.0972 0.0613 1.4765 3.2415 0.0000 1.0000 0.0000
